,MAE,RMSE,MAPE
Rolling_21,0.07546118470989269,0.10422908382323662,34.85129181371291
EWMA,0.07008530263771713,0.09497657702028331,32.91062860380893
GARCH,0.06612407872437415,0.08970210920605635,31.79455448234001
Ridge,0.06783566191142397,0.08882604172567508,32.33766960790188
RandomForest,0.3899280087663072,0.45517636019141916,190.15974950285238
GBM,0.2567885565846501,0.3129250249631952,130.85487965509034
